Order_ID,Order_Date,Product,Category,Region,Quantity,Revenue,Cost
1001,2024-01-05,Laptop,Electronics,West,2,120000,90000
1002,2024-01-12,Shirt,Clothing,North,5,7500,4000
1003,2024-02-03,Mobile,Electronics,East,3,45000,30000
1004,2024-02-18,Shoes,Footwear,West,4,12000,7000
1005,2024-03-02,Headphones,Electronics,South,6,18000,10000
1006,2024-03-15,Jeans,Clothing,North,3,6000,3500
1007,2024-04-07,Laptop,Electronics,East,1,60000,45000
1008,2024-04-21,Shoes,Footwear,South,2,6000,3500
1009,2024-05-10,Mobile,Electronics,West,4,60000,40000
1010,2024-05-22,Shirt,Clothing,North,6,9000,5000
1011,2024-06-11,Laptop,Electronics,South,2,120000,90000
1012,2024-06-25,Jeans,Clothing,East,5,10000,6000
